"S1Code","S1Ware","S1long","S1lat","S2Code","S2Ware","S2long","S2lat","JacDissim","JacSim"
"CS","CS-BC","47.26","32.62","CA","CA-PABW","51.445895","35.60760056","0.625","0.375"
"CS","CS-BC","47.26","32.62","CB1","CB1-PBW","49.9787","35.7806","0","1"
"CS","CS-BC","47.26","32.62","CB2","CB2-BBP","48.505855","32.221305","0.2","0.8"
"CS","CS-BC","47.26","32.62","CB2","CB2-BCP","48.505855","32.221305","0.2","0.8"
"CS","CS-BC","47.26","32.62","CB2","CB2-MCP","48.505855","32.221305","0.5","0.5"
"CS","CS-BC","47.26","32.62","CB2","CB2-MRP","48.505855","32.221305","0.75","0.25"
"CS","CS-BC","47.26","32.62","CB2","CB2-PB","48.505855","32.221305","0.5","0.5"
"CS","CS-BC","47.26","32.62","CB2","CB2-SP","48.505855","32.221305","0.5","0.5"
"CS","CS-BC","47.26","32.62","CM","CM-PB","48.555928","32.224015","0.2","0.8"
"CS","CS-BC","47.26","32.62","CM","CM-RB","48.555928","32.224015","0.666666666666667","0.333333333333333"
"CS","CS-BR","47.26","32.62","AK","AK-JPA","47.32492222","32.55781389","0.666666666666667","0.333333333333333"
"CS","CS-BR","47.26","32.62","AR","AR-SW","53.40545556","29.86275833","0.714285714285714","0.285714285714286"
"CS","CS-BR","47.26","32.62","AT","AT-PA","44.75538889","38.21327778","0.727272727272727","0.272727272727273"
"CS","CS-BR","47.26","32.62","B","B-B","54.40972222","28.64277778","0.75","0.25"
"CS","CS-BR","47.26","32.62","BC","BC-D","53.332575","36.7631","0.625","0.375"
"CS","CS-BR","47.26","32.62","CA","CA-PABW","51.445895","35.60760056","0.666666666666667","0.333333333333333"
"CS","CS-BR","47.26","32.62","CB1","CB1-PBW","49.9787","35.7806","0.714285714285714","0.285714285714286"
"CS","CS-BR","47.26","32.62","CB2","CB2-BBP","48.505855","32.221305","0.571428571428572","0.428571428571428"
"CS","CS-BR","47.26","32.62","CB2","CB2-BCP","48.505855","32.221305","0.571428571428572","0.428571428571428"
"CS","CS-BR","47.26","32.62","CB2","CB2-MCP","48.505855","32.221305","0.75","0.25"
"CS","CS-BR","47.26","32.62","CB2","CB2-MRP","48.505855","32.221305","0.428571428571429","0.571428571428571"
"CS","CS-BR","47.26","32.62","CB2","CB2-PB","48.505855","32.221305","0.555555555555556","0.444444444444444"
"CS","CS-BR","47.26","32.62","CB2","CB2-SP","48.505855","32.221305","0.888888888888889","0.111111111111111"
"CS","CS-BR","47.26","32.62","CM","CM-PB","48.555928","32.224015","0.571428571428572","0.428571428571428"
"CS","CS-BR","47.26","32.62","CM","CM-RB","48.555928","32.224015","0.714285714285714","0.285714285714286"
"CS","CS-BR","47.26","32.62","CS","CS-BC","47.26","32.62","0.714285714285714","0.285714285714286"
"CS","CS-JPA","47.26","32.62","AK","AK-JPA","47.32492222","32.55781389","0","1"
"CS","CS-JPA","47.26","32.62","AR","AR-SW","53.40545556","29.86275833","0.625","0.375"
"CS","CS-JPA","47.26","32.62","AT","AT-PA","44.75538889","38.21327778","0.4","0.6"
"CS","CS-JPA","47.26","32.62","B","B-B","54.40972222","28.64277778","0.5","0.5"
"CS","CS-JPA","47.26","32.62","BC","BC-D","53.332575","36.7631","0.375","0.625"
"CS","CS-JPA","47.26","32.62","CA","CA-PABW","51.445895","35.60760056","0","1"
"CS","CS-JPA","47.26","32.62","CB1","CB1-PBW","49.9787","35.7806","0.625","0.375"
"CS","CS-JPA","47.26","32.62","CB2","CB2-BBP","48.505855","32.221305","0.5","0.5"
"CS","CS-JPA","47.26","32.62","CB2","CB2-BCP","48.505855","32.221305","0.5","0.5"
"CS","CS-JPA","47.26","32.62","CB2","CB2-MCP","48.505855","32.221305","0.285714285714286","0.714285714285714"
"CS","CS-JPA","47.26","32.62","CB2","CB2-MRP","48.505855","32.221305","0.375","0.625"
"CS","CS-JPA","47.26","32.62","CB2","CB2-PB","48.505855","32.221305","0.125","0.875"
"CS","CS-JPA","47.26","32.62","CB2","CB2-SP","48.505855","32.221305","0.285714285714286","0.714285714285714"
"CS","CS-JPA","47.26","32.62","CM","CM-PB","48.555928","32.224015","0.5","0.5"
"CS","CS-JPA","47.26","32.62","CM","CM-RB","48.555928","32.224015","0.625","0.375"
"CS","CS-JPA","47.26","32.62","CS","CS-BC","47.26","32.62","0.625","0.375"
