Munsell,ISCCNBS,R,G,B,L,a,b
2.5Y 5/2,light olive brown,132.7650509,119.9896835,98.53544544,51.02504289,1.286646406,13.59135942
2.5Y 5/3,light olive brown,137.4709673,119.244853,86.89932653,51.03314247,2.057701269,20.40697718
2.5Y 5/4,light olive brown,141.6795888,118.4918974,74.91383716,51.0397652,2.896507196,27.2879602
2.5Y 5/6,light olive brown,148.9177062,116.9564047,48.30160557,51.04908339,4.756435047,41.49046248
2.5Y 5/8,light olive brown,153.8184314,115.7212076,15.21458391,51.05364912,6.342029507,54.17620508
2.5Y 6/1,light brownish gray,153.2976066,146.6927549,134.7664824,61.05971106,0.28220524,7.183488915
2.5Y 6/2,light olive brown,158.5086005,146.1026567,122.5300492,61.07086969,0.652924011,14.1768824
2.5Y 6/3,dark grayish yellow,163.2442575,145.4169764,110.9769094,61.07931821,1.289479323,20.73143078
2.5Y 6/4,dark grayish yellow,167.6139681,144.6868246,99.37084699,61.08621425,2.056093214,27.2302788
2.5Y 6/6,dark yellow,175.5659098,143.1493396,73.56292179,61.09719176,3.800132966,41.07813587
2.5Y 6/8,deep yellow,181.9502965,141.6416347,44.56963544,61.10338362,5.673195559,54.53255611
2.5Y 7/1,yellowish gray,179.2805862,172.8844052,160.2177177,70.87503902,0.04587933,7.319509465
2.5Y 7/2,grayish yellow,184.5942925,172.3517534,147.4187307,70.88699296,0.269681037,14.42138637
2.5Y 7/3,grayish yellow,189.8309689,171.5886312,135.4157333,70.89565548,0.984134931,21.04790516
2.5Y 7/4,grayish yellow,194.6770533,170.776696,123.5720477,70.90269738,1.836221933,27.52384021
2.5Y 7/6,moderate yellow,202.8335483,169.3130445,98.76534998,70.91468292,3.376721603,40.70382427
2.5Y 7/8,strong yellow,209.2065548,168.0398328,72.09448323,70.9234979,4.761810079,53.76959492
2.5Y 8/1,yellowish gray,205.8328716,199.3547444,185.8335484,80.54193129,-0.088721466,7.563169728
2.5Y 8/2,pale yellow,211.1765735,198.899639,172.3847416,80.55479775,-0.039951122,14.83190568
2.5Y 8/3,pale yellow,216.0354012,198.3204888,160.2509175,80.56444269,0.338128993,21.36014215
2.5Y 8/4,pale yellow,220.6050308,197.67469,148.38278,80.5724428,0.885186088,27.69792423
2.5Y 8/6,light yellow,229.2650386,196.2563536,122.8647418,80.58602884,2.254425578,41.04061861
2.5Y 8/8,brilliant yellow,236.6467054,194.790961,96.81173427,80.59520032,3.866351721,53.9384209
5Y 2.5/1,olive gray,63.47480613,59.6133049,50.96441441,25.26779322,-0.094688844,5.958139091
5Y 2.5/2,grayish olive,66.51158356,59.34617056,41.81233769,25.27722994,-0.065406736,12.01693972
5Y 2.5/3,moderate olive,69.4109997,58.98771102,31.40807783,25.28496246,0.203535628,18.69362508
5Y 2.5/4,moderate olive,72.0062874,58.58295749,18.92920696,25.29090416,0.632282082,26.01293445
5Y 2.5/6,moderate olive,76.44464598,57.64102982,0,25.29778274,1.923885303,40.61820171
5Y 2.5/8,moderate olive,79.09262174,57.16664857,0,25.30456148,2.402624021,52.27072556
5Y 3/1,olive gray,75.44138124,71.26519684,61.50658687,30.39147736,-0.189812027,6.499478575
5Y 3/2,grayish olive,78.70150623,71.00976752,51.49703509,30.40183016,-0.237579025,12.93969116
5Y 3/3,moderate olive,81.70729272,70.65602795,41.02824779,30.4097962,-0.004260467,19.50735863
5Y 3/4,moderate olive,84.34642617,70.26814128,29.57362567,30.41589036,0.371551726,26.27642457
5Y 3/6,moderate olive,88.65828412,69.44663926,0,30.42351859,1.395741411,41.12201533
5Y 3/8,moderate olive,91.63272893,68.8583619,0,30.42931876,2.095122686,55.14579805
5Y 4/1,olive gray,100.4489848,95.8079469,84.25387841,40.75132534,-0.361162922,7.268835772
5Y 4/2,grayish olive,104.1615761,95.5777446,72.59001807,40.76347517,-0.557492585,14.41661608
5Y 4/3,moderate olive,107.605874,95.23335577,60.640074,40.7730074,-0.441717076,21.59902866
5Y 4/4,moderate olive,110.5612063,94.864042,48.37355373,40.78036749,-0.184605297,28.67745169
5Y 4/6,moderate olive,114.9990821,94.15478572,21.33806108,40.78957013,0.532428772,41.84322373
5Y 4/8,moderate olive,118.2091823,93.50964311,0,40.79460348,1.328399058,55.5884051
5Y 5/1,light olive gray,125.6319456,121.37192,109.3672764,51.01922179,-0.618928942,7.159940031
5Y 5/2,light grayish olive,129.3369485,121.2417423,97.32478034,51.03235208,-1.037071691,14.25630036
5Y 5/3,light olive,132.9904357,120.9602793,84.92047132,51.04314121,-1.102431042,21.47527369
5Y 5/4,light olive,136.3540155,120.6086015,72.1034337,51.05194417,-0.962595671,28.75232671
5Y 5/6,light olive,142.1381345,119.7870076,43.59419049,51.06445311,-0.261549059,43.49975767
5Y 5/8,light olive,145.8966042,119.1251461,1.963308431,51.0711884,0.450438786,56.50340083
5Y 6/1,light olive gray,151.6689599,147.2702115,134.1319069,61.06316903,-0.770347166,7.529181151
5Y 6/2,light grayish olive,155.4555409,147.2173362,121.2752261,61.0773887,-1.367430695,14.85123226
5Y 6/3,dark grayish yellow,158.7925899,147.0908548,108.9783247,61.088943,-1.724334509,21.78705468
5Y 6/4,dark grayish yellow,161.9543136,146.8737658,96.5755777,61.09856993,-1.849087931,28.66927835
5Y 6/6,dark yellow,168.325058,146.0976996,68.86636686,61.11325044,-1.355215938,43.25008557
5Y 6/8,deep yellow,172.8644071,145.4583705,36.04345743,61.12315415,-0.851515871,57.35675342
5Y 7/1,yellowish gray,177.8728233,173.3868134,159.6098443,70.87803429,-0.847723037,7.642652961
5Y 7/2,grayish yellow,181.7728305,173.3820593,146.1576679,70.89298659,-1.554526392,15.08414401
5Y 7/3,grayish yellow,185.1510798,173.3383629,133.2198544,70.90561736,-2.093559532,22.18471555
5Y 7/4,grayish yellow,188.2598004,173.2284989,120.4034677,70.91635992,-2.443222883,29.13002244
5Y 7/6,moderate yellow,194.2157531,172.7326797,93.89670953,70.9329632,-2.493079113,42.99604152
5Y 7/8,strong yellow,199.343954,172.0672557,65.29037038,70.94415019,-2.03213789,56.48333358
5Y 8/1,yellowish gray,204.3945026,199.8877006,184.9945177,80.54525726,-1.023984782,8.002185284
5Y 8/2,pale yellow,208.3146819,199.9702633,170.739078,80.56124286,-1.908834237,15.68420409
5Y 8/3,pale yellow,211.4178349,200.0539025,157.7470478,80.57445045,-2.66533376,22.63744407
5Y 8/4,pale yellow,214.3021724,200.0594293,145.0687527,80.58575511,-3.217108155,29.35653716
5Y 8/6,light yellow,220.482385,199.6621088,118.2211592,80.60399493,-3.50838773,43.22593804
5Y 8/8,brilliant yellow,225.7605623,199.1588214,89.55548907,80.61766208,-3.425064538,57.01612421
5YR 2.5/1,brownish gray,68.2715179,57.73793121,53.28604082,25.25462421,3.75261093,4.474075223
5YR 2.5/2,grayish brown,75.02602406,55.69271818,46.58568878,25.25272842,7.101215312,9.021803382
5YR 2.5/3,moderate brown,80.71772217,53.66575481,39.87094438,25.25011982,10.2132229,13.54797904
5YR 2.5/4,moderate brown,85.75814062,51.59585481,32.74425274,25.24688017,13.19195977,18.27000784
5YR 2.5/6,strong brown,94.77496716,47.07391852,14.34002989,25.23823633,19.06603789,29.36528788
5YR 2.5/8,strong brown,102.5360005,42.06950045,0,25.22752393,24.65038849,41.14182407
5YR 3/1,brownish gray,80.70917447,69.22892021,63.95610254,30.37765286,3.879286817,4.980569319
5YR 3/2,grayish brown,88.04704063,67.07644967,56.41133772,30.37630917,7.308560027,9.947806286
5YR 3/3,moderate brown,94.06031154,65.01150955,49.28357065,30.37403854,10.4275838,14.61240024
5YR 3/4,moderate brown,99.32672725,62.94919092,42.00143903,30.37114085,13.3763935,19.3115859
5YR 3/6,strong brown,108.6502472,58.60084174,24.55412367,30.36367531,19.07928545,29.88505387
5YR 3/8,strong brown,115.6379893,54.61338042,0,30.35588334,23.74293141,41.67914914
5YR 4/1,brownish gray,105.5405689,93.76338037,87.79431119,40.73664143,3.629285724,5.149885556
5YR 4/2,grayish brown,113.5040402,91.59260524,79.5239104,40.73632951,6.956171556,10.32374655
5YR 4/3,moderate brown,120.579009,89.37023595,71.24872753,40.73489374,10.22901572,15.4798983
5YR 4/4,moderate brown,126.7004765,87.20879613,62.97264446,40.7328966,13.2716784,20.58597349
5YR 4/6,strong brown,136.3743927,83.26084955,46.65290357,40.72796348,18.49257212,30.3334247
5YR 4/8,strong brown,144.4149463,79.35145629,27.35841761,40.7214114,23.27673409,40.60269886
5YR 5/1,light brownish gray,130.5058906,119.3872303,113.3650167,51.00469429,3.16815926,4.851496875
5YR 5/2,light grayish brown,138.3958249,117.3834681,105.1757711,51.00531414,6.137885476,9.763924085
5YR 5/3,light brown,145.5119157,115.3725511,96.81606945,51.00536028,9.023220635,14.76478175
5YR 5/4,light brown,152.0837737,113.3139165,88.20178304,51.00470223,11.88880726,19.88889779
5YR 5/6,brownish orange,164.2968015,108.8564306,69.60383863,51.00071064,17.81615154,30.74274714
5YR 5/8,brownish orange,174.2406227,104.5450416,49.455878,50.99491131,23.16343311,41.76382738
5YR 6/1,light brownish gray,156.6302307,145.2144344,138.6982587,61.04804477,3.059127659,4.975425936
5YR 6/2,light grayish brown,164.8212892,143.2124217,130.1136004,61.04922956,5.926631657,9.946191223
5YR 6/3,light brown,172.1019058,141.2491842,121.7308084,61.04970899,8.673956289,14.79161424
5YR 6/4,light brown,178.8628664,139.2589658,113.1643301,61.04963496,11.39107318,19.72442958
5YR 6/6,moderate orange,191.6364116,135.0068624,94.22827216,61.04790479,16.96764887,30.48941436
5YR 6/8,moderate orange,202.4906549,130.7508722,74.77622929,61.043596,22.27969675,41.15484864
5YR 7/1,pinkish gray,182.5847955,171.3677813,164.7208053,70.86279058,2.851903302,4.859407884
