"S1Code","S1Ware","S1long","S1lat","S2Code","S2Ware","S2long","S2lat","JacDissim","JacSim"
"TK2","TK-PA","52.44198611","29.91753611","KH","KH-RB","52.06511333","29.88179778","0.666666666666667","0.333333333333333"
"TK2","TK-PA","52.44198611","29.91753611","MS10","MS10-CW","51.32983333","30.35716667","0.428571428571429","0.571428571428571"
"TK2","TK-PA","52.44198611","29.91753611","MS11","MS11-CW","51.33366667","30.35426667","0.428571428571429","0.571428571428571"
"TK2","TK-PA","52.44198611","29.91753611","MS20","MS20-CW","51.33611667","30.353","0.5","0.5"
"TK2","TK-PA","52.44198611","29.91753611","TJ1","TJ1-BPBW","52.93935833","29.83546667","0.571428571428572","0.428571428571428"
"TK2","TK-PA","52.44198611","29.91753611","TK1","TK1-JW","52.50527778","29.58277778","0.5","0.5"
"TK2","TK-PA","52.44198611","29.91753611","TK1","TK1-KW","52.50527778","29.58277778","0.714285714285714","0.285714285714286"
"TK2","TK-PA","52.44198611","29.91753611","TK1","TK1-MW","52.50527778","29.58277778","0.4","0.6"
"TK2","TK-PA","52.44198611","29.91753611","TM1","TM1-BIS","52.96494722","29.81067222","0.5","0.5"
"TK2","TK-PA","52.44198611","29.91753611","TM1","TM1-BUS","52.96494722","29.81067222","0.4","0.6"
"TK2","TK-PA","52.44198611","29.91753611","TM1","TM1-PRS","52.96494722","29.81067222","0.333333333333333","0.666666666666667"
"TRA","TRA-FM","53.05774722","30.11208333","AR","AR-SW","53.40545556","29.86275833","0.333333333333333","0.666666666666667"
"TRA","TRA-FM","53.05774722","30.11208333","H","H-PA","53.51537389","30.50747583","0.5","0.5"
"TRA","TRA-FM","53.05774722","30.11208333","KH","KH-BB","52.06511333","29.88179778","0.333333333333333","0.666666666666667"
"TRA","TRA-FM","53.05774722","30.11208333","KH","KH-BBR","52.06511333","29.88179778","0.5","0.5"
"TRA","TRA-FM","53.05774722","30.11208333","KH","KH-BRPW","52.06511333","29.88179778","0.625","0.375"
"TRA","TRA-FM","53.05774722","30.11208333","KH","KH-BW","52.06511333","29.88179778","0.333333333333333","0.666666666666667"
"TRA","TRA-FM","53.05774722","30.11208333","KH","KH-RB","52.06511333","29.88179778","0.571428571428572","0.428571428571428"
"TRA","TRA-FM","53.05774722","30.11208333","MS10","MS10-CW","51.32983333","30.35716667","0.7","0.3"
"TRA","TRA-FM","53.05774722","30.11208333","MS11","MS11-CW","51.33366667","30.35426667","0.7","0.3"
"TRA","TRA-FM","53.05774722","30.11208333","MS20","MS20-CW","51.33611667","30.353","0.428571428571429","0.571428571428571"
"TRA","TRA-FM","53.05774722","30.11208333","TJ1","TJ1-BPBW","52.93935833","29.83546667","0.285714285714286","0.714285714285714"
"TRA","TRA-FM","53.05774722","30.11208333","TK1","TK1-JW","52.50527778","29.58277778","0.428571428571429","0.571428571428571"
"TRA","TRA-FM","53.05774722","30.11208333","TK1","TK1-KW","52.50527778","29.58277778","0.625","0.375"
"TRA","TRA-FM","53.05774722","30.11208333","TK1","TK1-MW","52.50527778","29.58277778","0.75","0.25"
"TRA","TRA-FM","53.05774722","30.11208333","TM1","TM1-BIS","52.96494722","29.81067222","0.444444444444444","0.555555555555556"
"TRA","TRA-FM","53.05774722","30.11208333","TM1","TM1-BUS","52.96494722","29.81067222","0.333333333333333","0.666666666666667"
"TRA","TRA-FM","53.05774722","30.11208333","TM1","TM1-PRS","52.96494722","29.81067222","0.5","0.5"
"TRA","TRA-FM","53.05774722","30.11208333","TK2","TK-PA","52.44198611","29.91753611","0.571428571428572","0.428571428571428"
"TRA","TRA-RW","53.05774722","30.11208333","AR","AR-SW","53.40545556","29.86275833","0.666666666666667","0.333333333333333"
"TRA","TRA-RW","53.05774722","30.11208333","H","H-PA","53.51537389","30.50747583","0.333333333333333","0.666666666666667"
"TRA","TRA-RW","53.05774722","30.11208333","KH","KH-BB","52.06511333","29.88179778","0.666666666666667","0.333333333333333"
"TRA","TRA-RW","53.05774722","30.11208333","KH","KH-BBR","52.06511333","29.88179778","0.571428571428572","0.428571428571428"
"TRA","TRA-RW","53.05774722","30.11208333","KH","KH-BRPW","52.06511333","29.88179778","0.875","0.125"
