Site Code,Site,Ware Code,Pottery Identifier,LongDD,LatDD,SurfacePale,SurfaceLight,SurfaceMod,SurfaceDark,SlipPale,SlipLight,SlipMod,SlipDark,Decorated,Burnished,PaintPale,PaintLight,PaintMod,PaintDark,Incised,SlipBichrome,PaintBichrome,Slip Crusted
MS10,MS10,MS10-CW,Common Wares,51.32983333,30.35716667,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0
MS11,MS11,MS11-CW,Common Wares,51.33366667,30.35426667,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0
MS1617,MS16 and MS17,MS1617-P,Plain,51.33256667,30.33931667,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MS20,MS20,MS20-CW,Common Wares,51.33611667,30.353,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
P,Pookerdvall,P-BASLIP,BASLIP,54.48638889,36.84861111,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0
P,Pookerdvall,P-BICHPYS,BICHPYS,54.48638889,36.84861111,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0
P,Pookerdvall,P-BLAPALB,BLAPALB,54.48638889,36.84861111,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
P,Pookerdvall,P-BROPYS,BROPYS,54.48638889,36.84861111,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0
P,Pookerdvall,P-BROPYT,BROPYT,54.48638889,36.84861111,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0
P,Pookerdvall,P-BUFFUN,BUFFUN,54.48638889,36.84861111,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
P,Pookerdvall,P-CREASPO,CREASPO,54.48638889,36.84861111,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
P,Pookerdvall,P-DABRYS,DABRYS,54.48638889,36.84861111,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
P,Pookerdvall,P-EABRYS,EABRYS,54.48638889,36.84861111,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
P,Pookerdvall,P-POLWAV,POLWAV,54.48638889,36.84861111,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0
P,Pookerdvall,P-REDBRIT,REDBRIT,54.48638889,36.84861111,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0
P,Pookerdvall,P-WHOSCOL,WHOSCOL,54.48638889,36.84861111,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
QT,Qara Tepe,QT-PA,AQT Tradition Painted,44.75538889,38.21327778,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0
QT,Qara Tepe,QT-PL,AQT Tradition Plain ,44.75538889,38.21327778,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,Sang-e Chakmaq,SC-BPW,Black Polished Ware,55.00055556,36.49972222,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
SC,Sang-e Chakmaq,SC-NP,Neolithic polychrome,55.00055556,36.49972222,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
SC,Sang-e Chakmaq,SC-T1,Group 1 Tsuneki,55.00055556,36.49972222,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0
SC,Sang-e Chakmaq,SC-T2,Group 2 Tsuneki,55.00055556,36.49972222,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
TB2,Tol-e Bashi,TB2-BB,Black on Buff,52.59,30.08,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
TB2,Tol-e Bashi,TB2-BR,Black on Red,52.59,30.08,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
TB2,Tol-e Bashi,TB2-BRB,Black and Red on Buff,52.59,30.08,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
TB2,Tol-e Bashi,TB2-BWB,Black on White Wash,52.59,30.08,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
TB2,Tol-e Bashi,TB2-RBF,Red on Buff,52.59,30.08,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
TB2,Tol-e Bashi,TB2-RBR,Red Burnished,52.59,30.08,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
TB2,Tol-e Bashi,TB2-RR,Red on Red,52.59,30.08,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
TB2,Tol-e Bashi,TB2-ST,Straw Tempered/Coarse,52.59,30.08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB3,Tol-e Borzu,TB3-JPA,Jari style painted,52.94243333,29.82901389,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
TB3,Tol-e Borzu,TB3-JPL,Jari style plain,52.94243333,29.82901389,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TB1,Tal-e Bakun B,TB1-CCW,Common Coarse Ware,52.88666667,29.91333333,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TB1,Tal-e Bakun B,TB1-MW,Medium Ware,52.88666667,29.91333333,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
TB1,Tal-e Bakun B,TB1-PBW,Painted Buff Ware,52.88666667,29.91333333,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
TE,Tepe Ebrahimabad,TE-BRPW,Black on Red Painted Ware,50.011,36.146,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
TE,Tepe Ebrahimabad,TE-EPW,Ebrahimabad Painted Ware,50.011,36.146,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
TE,Tepe Ebrahimabad,TE-S1BW,Sialk I Buff Ware,50.011,36.146,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
TE,Tepe Ebrahimabad,TE-SBW,Simple Buff Ware,50.011,36.146,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TE,Tepe Ebrahimabad,TE-SRW,Simple Red Ware,50.011,36.146,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,Tepe Guran,TG-AP,Archaic Painted,47.09775,33.75661944,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
